;massa A;
t;x;
13,528;0,101
13,561;
13,595;
13,628;
13,662;9,807E-2
13,695;
13,729;
13,762;
13,796;9,428E-2
13,829;
13,863;
13,896;
13,930;9,033E-2
13,963;
13,997;
14,030;
14,064;8,632E-2
14,097;
14,131;
14,164;
14,198;8,237E-2
14,231;
14,264;
14,298;
14,331;7,845E-2
14,365;
14,398;
14,432;
14,465;7,415E-2
14,499;
14,532;
14,566;
14,599;6,999E-2
14,633;
14,666;
14,700;
14,733;6,571E-2
14,767;
14,800;
14,834;
14,867;6,134E-2
14,901;
14,934;
14,968;
15,001;5,675E-2
15,035;
15,068;
15,102;
15,135;5,254E-2
15,169;
15,202;
15,236;
15,269;4,778E-2
15,303;
15,336;
15,369;
15,403;4,331E-2
15,436;
15,470;
15,503;
15,537;3,898E-2
15,570;
15,604;
15,637;
15,671;3,433E-2
15,704;
15,738;
15,771;
15,805;2,969E-2
15,838;
15,872;
15,905;
15,939;2,511E-2
15,972;
16,006;
16,039;
16,073;2,007E-2
16,106;
16,140;
16,173;
16,207;1,610E-2
16,240;
16,274;
16,307;
16,341;1,068E-2
16,374;
16,408;
16,441;
16,474;5,230E-3
16,508;
16,541;
16,575;
16,608;5,623E-4
16,642;
16,675;
16,709;
16,742;-3,910E-3
16,776;
16,809;
16,843;
16,876;-8,440E-3
16,910;
16,943;
16,977;
17,010;-1,280E-2
17,044;
17,077;
17,111;
17,144;-1,766E-2
17,178;
17,211;
17,245;
17,278;-2,163E-2
17,312;
17,345;
17,379;
17,412;-2,724E-2
17,446;
17,479;
17,513;
17,546;-3,155E-2
17,579;
17,613;
17,646;
17,680;-3,575E-2
17,713;
17,747;
17,780;
17,814;-4,030E-2
17,847;
17,881;
17,914;
17,948;-4,436E-2
17,981;
18,015;
18,048;
18,082;-4,845E-2
18,115;
18,149;
18,182;
18,216;-5,331E-2
18,249;
18,283;
18,316;
18,350;-5,696E-2
18,383;
18,417;
18,450;
18,484;-6,063E-2
18,517;
18,551;
18,584;
18,618;-6,486E-2
18,651;
18,684;
18,718;
18,751;-6,818E-2
18,785;
18,818;
18,852;
18,885;-7,292E-2
18,919;
18,952;
18,986;
19,019;-7,626E-2
19,053;
19,086;
19,120;
19,153;-7,935E-2
19,187;
19,220;
19,254;
19,287;-8,310E-2
19,321;
19,354;
19,388;
19,421;-8,619E-2
19,455;
19,488;
19,522;
19,555;-9,010E-2
19,589;
19,622;
19,656;
19,689;-9,280E-2
19,723;
19,756;
19,789;
19,823;-9,491E-2
19,856;
19,890;
19,923;
19,957;-9,890E-2
19,990;
20,024;
20,057;
20,091;-0,101
20,124;
20,158;
20,191;
20,225;-0,103
20,258;
20,292;
20,325;
20,359;-0,106
20,392;
20,426;
20,459;
20,493;-0,108
20,526;
20,560;
20,593;
20,627;-0,110
20,660;
20,694;
20,727;
20,761;-0,113
20,794;
20,828;
20,861;
20,894;-0,114
20,928;
20,961;
20,995;
21,028;-0,116
21,062;
21,095;
21,129;
21,162;-0,117
21,196;
21,229;
21,263;
21,296;-0,118
21,330;
21,363;
21,397;
21,430;-0,124
21,464;
21,497;
21,531;
21,564;-0,125
21,598;
21,631;
21,665;
21,698;-0,125
21,732;
21,765;
21,799;
21,832;-0,126
21,866;
21,899;
21,933;
21,966;-0,127
21,999;
22,033;
22,066;
22,100;-0,127
22,133;
22,167;
22,200;
22,234;-0,127
22,267;
22,301;
22,334;
22,368;-0,128
22,401;
22,435;
22,468;
22,502;-0,126
22,535;
22,569;
22,602;
22,636;-0,126
22,669;
22,703;
22,736;
22,770;-0,125
22,803;
22,837;
22,870;
22,904;-0,125
22,937;
22,971;
23,004;
23,037;-0,124
23,071;
23,104;
23,138;
23,171;-0,125
23,205;
23,238;
23,272;
23,305;-0,124
23,339;
23,372;
23,406;
23,439;-0,123
23,473;
23,506;
23,540;
23,573;-0,118
23,607;
23,640;
23,674;
23,707;-0,117
23,741;
23,774;
23,808;
23,841;-0,117
23,875;
23,908;
23,942;
23,975;-0,116
24,009;
24,042;
24,076;
24,109;-0,114
24,142;
24,176;
24,209;
24,243;-0,112
24,276;
24,310;
24,343;
24,377;-0,110
24,410;
24,444;
24,477;
24,511;-0,107
24,544;
24,578;
24,611;
24,645;-0,105
24,678;
24,712;
24,745;
24,779;-0,101
24,812;
24,846;
24,879;
24,913;-9,946E-2
24,946;
24,980;
25,013;
25,047;-9,602E-2
25,080;
25,114;
25,147;
25,181;-9,360E-2
25,214;
25,247;
25,281;
25,314;-8,995E-2
25,348;
25,381;
25,415;
25,448;-8,610E-2
25,482;
25,515;
25,549;
25,582;-8,215E-2
25,616;
25,649;
25,683;
25,716;-7,921E-2
25,750;
25,783;
25,817;
25,850;-7,345E-2
25,884;
25,917;
25,951;
25,984;-7,199E-2
26,018;
26,051;
26,085;
26,118;-6,748E-2
26,152;
26,185;
26,219;
26,252;-6,441E-2
26,286;
26,319;
26,352;
26,386;-5,944E-2
26,419;
26,453;
26,486;
26,520;-5,638E-2
26,553;
26,587;
26,620;
26,654;-5,202E-2
26,687;
26,721;
26,754;
26,788;-4,719E-2
26,821;
26,855;
26,888;
26,922;-4,321E-2
26,955;
26,989;
27,022;
27,056;-3,807E-2
27,089;
27,123;
27,156;
27,190;-3,490E-2
27,223;
27,257;
27,290;
27,324;-3,058E-2
27,357;
27,391;
27,424;
27,457;-2,497E-2
27,491;
27,524;
27,558;
27,591;-1,868E-2
27,625;
27,658;
27,692;
27,725;-1,619E-2
27,759;
27,792;
27,826;
27,859;-1,041E-2
27,893;
27,926;
27,960;
27,993;-7,246E-3
28,027;
28,060;
28,094;
28,127;-2,371E-3
28,161;
28,194;
28,228;
28,261;2,271E-3
28,295;
28,328;
28,362;
28,395;8,076E-3
28,429;
28,462;
28,496;
28,529;1,501E-2
28,562;
28,596;
28,629;
28,663;1,895E-2
28,696;
28,730;
28,763;
28,797;2,123E-2
28,830;
28,864;
28,897;
28,931;2,604E-2
28,964;
28,998;
29,031;
29,065;3,163E-2
29,098;
29,132;
29,165;
29,199;3,640E-2
29,232;
29,266;
29,299;
29,333;3,922E-2
29,366;
29,400;
29,433;
